,name,date,team,opponent,min,g,ass,tp,tpint,dis,dap,ta,tr,toques,tkl,interceps,blocks,xg,npxg,xag,act,acg,cmp,int_pass,po_cmp,prog,reg_success,reg_int
36,Aaron Cresswell,2020-12-29,West Ham,Southampton,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,48.0,64.6,2.0,0.0,0.0
37,Aaron Cresswell,2021-01-01,West Ham,Everton,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,70.0,0.0,3.0,4.0,0.1,0.1,0.0,1.0,1.0,38.0,55.0,69.1,4.0,0.0,0.0
38,Aaron Cresswell,2021-01-16,West Ham,Burnley,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,53.0,69.0,76.8,9.0,0.0,0.0
39,Aaron Cresswell,2021-01-19,West Ham,West Brom,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1.0,0.0,0.0,0.0,0.0,0.2,6.0,1.0,73.0,107.0,68.2,6.0,1.0,2.0
40,Aaron Cresswell,2021-01-26,West Ham,Crystal Palace,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,50.0,67.0,74.6,2.0,0.0,0.0
41,Aaron Cresswell,2021-01-31,West Ham,Liverpool,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,27.0,40.0,67.5,5.0,0.0,0.0
42,Aaron Cresswell,2021-02-03,West Ham,Aston Villa,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,51.0,2.0,2.0,0.0,0.1,0.1,0.4,3.0,0.0,32.0,46.0,69.6,2.0,0.0,0.0
43,Aaron Cresswell,2021-02-06,West Ham,Fulham,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,1.0,0.0,1.0,0.1,0.1,0.7,5.0,0.0,49.0,63.0,77.8,3.0,0.0,0.0
44,Aaron Cresswell,2021-02-15,West Ham,Sheffield Utd,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,1.0,0.0,0.0,0.1,0.1,0.2,4.0,2.0,53.0,63.0,84.1,2.0,0.0,1.0
45,Aaron Cresswell,2021-02-21,West Ham,Tottenham,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,4.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,28.0,50.0,56.0,2.0,0.0,0.0
46,Aaron Cresswell,2021-02-27,West Ham,Manchester City,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0,0.1,3.0,0.0,49.0,64.0,76.6,2.0,0.0,1.0
47,Aaron Cresswell,2021-03-08,West Ham,Leeds United,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,1.0,1.0,1.0,0.1,0.1,0.4,4.0,2.0,33.0,46.0,71.7,2.0,0.0,0.0
48,Aaron Cresswell,2021-03-14,West Ham,Manchester Utd,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,44.0,54.0,81.5,3.0,1.0,1.0
49,Aaron Cresswell,2021-03-21,West Ham,Arsenal,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,44.0,57.0,77.2,6.0,0.0,0.0
50,Aaron Cresswell,2021-04-05,West Ham,Wolves,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,1.0,26.0,42.0,61.9,2.0,0.0,0.0
51,Aaron Cresswell,2021-04-11,West Ham,Leicester City,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,32.0,68.8,1.0,0.0,0.0
52,Aaron Cresswell,2021-05-03,West Ham,Burnley,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,87.0,0.0,2.0,0.0,0.1,0.1,0.3,6.0,0.0,68.0,80.0,85.0,1.0,0.0,0.0
53,Aaron Cresswell,2021-05-09,West Ham,Everton,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,57.0,80.7,3.0,0.0,1.0
54,Aaron Cresswell,2021-05-15,West Ham,Brighton,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.8,7.0,0.0,56.0,67.0,83.6,2.0,0.0,0.0
55,Aaron Cresswell,2021-05-19,West Ham,West Brom,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,1.0,0.0,1.0,0.0,0.0,0.4,4.0,1.0,39.0,69.0,56.5,3.0,0.0,0.0
